Formula,Source,ID,space group,centered,natoms,nelectrons,dim,bandgap,directbandgap,metallicity,ν,wcc
CsAu(IO3)4,ICSD,250789,C2 (5),0,18,120,3,2.3049,2.352,0,(0;000),0
CrPS4,ICSD,937,C2 (5),0,12,86,2,0,0.006,0.359,(0;100),1
CaZrSi2O7,COD,9004208,C2 (5),0,11,64,3,4.5504,4.594,0,(0;000),0
CaCO3,ICSD,83607,C2 (5),0,15,96,1,4.5726,4.806,0,(0;000),0
Bi(BO2)3,ICSD,48025,C2 (5),0,10,50,3,3.639,4.023,0,(0;000),0
Bi(BO2)3,ICSD,173745,C2 (5),0,10,50,3,3.5492,3.755,0,(0;000),0
Bi(BO2)3,ICSD,245889,C2 (5),0,10,50,3,3.625,4.005,0,(0;000),0
Bi(BO2)3,ICSD,245890,C2 (5),0,10,50,3,3.6363,4.007,0,(0;000),0
Bi(BO2)3,ICSD,245892,C2 (5),0,10,50,3,3.6481,4.036,0,(0;000),0
Bi(BO2)3,ICSD,245893,C2 (5),0,10,50,3,3.6325,4.01,0,(0;000),0
Bi(BO2)3,ICSD,245894,C2 (5),0,10,50,3,3.6372,4.021,0,(0;000),0
Bi(BO2)3,ICSD,245895,C2 (5),0,10,50,3,3.6421,4.024,0,(0;000),0
Bi(BO2)3,ICSD,245896,C2 (5),0,10,50,3,3.6229,4.001,0,(0;000),0
Bi(BO2)3,ICSD,245897,C2 (5),0,10,50,3,3.6445,4.025,0,(0;000),0
Bi7O5F11,ICSD,167074,C2 (5),0,23,212,3,3.0383,3.039,0,(0;000),0
BaTi2O5,COD,2013673,C2 (5),0,24,192,3,2.2987,2.801,0,(0;000),0
BaCo2P2H2O9,ICSD,84830,C2 (5),0,16,110,2,0,0.007,0.518,NaN,0
B2S2O9,ICSD,426544,C2 (5),0,13,72,2,7.109,7.305,0,(0;000),0
AsPd5,ICSD,44042,C2 (5),0,12,190,3,0,0.004,0.719,NaN,0
As(CN)3,ICSD,35330,C2 (5),0,14,64,2,1.6993,1.742,0,(0;000),0
As(CN)3,COD,2310572,C2 (5),0,14,64,1,4.5336,4.574,0,(0;000),0
ZrTl2PbSe4,ICSD,237508,C2/c (15),1,16,136,3,0,0.93,0.03,(0;000),0
ZrTl2PbS4,ICSD,237507,C2/c (15),1,16,136,3,0.5808,1.368,0,(0;000),0
Zr(MoO4)2,ICSD,420668,C2/c (15),1,22,160,3,2.9098,2.989,0,(0;000),0
Zr,ICSD,31668,C2/c (15),1,6,24,1,0,0.022,0.32,(0;000),0
ZnSiO3,COD,2106565,C2/c (15),1,20,136,3,3.6364,3.782,0,(0;000),0
ZnSiO3,COD,9006919,C2/c (15),1,20,136,3,3.765,3.845,0,(0;000),0
Zn(PO3)2,COD,1007095,C2/c (15),1,18,116,3,5.08,5.119,0,(0;000),0
ZnH2SO5,COD,9009373,C2/c (15),1,18,100,3,4.5755,4.576,0,(0;000),0
ZnH2SeO5,ICSD,66749,C2/c (15),1,18,100,3,3.248,3.248,0,(0;000),0
YTaO4,ICSD,109190,C2/c (15),1,12,96,3,4.321,4.479,0,(0;000),0
Y(NiB)2,ICSD,615079,C2/c (15),1,10,74,3,0,0,0.617,(1;011),0
YNbO4,COD,9011436,C2/c (15),1,12,96,3,3.6266,3.747,0,(0;000),0
Y(CuO2)2,ICSD,83493,C2/c (15),1,14,114,3,0,0,0.368,(1;101),0
Y5Ru2,ICSD,650770,C2/c (15),1,14,174,3,0,0,0.372,(1;101),0
Y5Ir2,ICSD,641177,C2/c (15),1,14,178,3,0,0,0.474,(0;011),0
Y4OsBr4,ICSD,71513,C2/c (15),1,18,176,3,0.5556,0.589,0,(0;000),0
Y2Si5Rh3,ICSD,40760,C2/c (15),1,20,186,3,0,0,0.534,(0;011),0
Y2Ge5Rh3,ICSD,637730,C2/c (15),1,20,186,3,0,0,0.603,(0;101),0
Y2Co3Ge5,ICSD,623668,C2/c (15),1,20,186,3,0,0,0.574,(0;101),0
VSb2O5,COD,9004154,C2/c (15),1,16,106,3,0.8007,0,1,(0;000),0
VS4,ICSD,16797,C2/c (15),1,20,148,2,0.6894,0.769,0,(0;000),0
VPO4F,ICSD,183878,C2/c (15),1,14,98,3,0,0,0.779,(1;100),0
VP4,ICSD,38315,C2/c (15),1,10,66,2,0,0,0.729,(1;011),0
VP2O7,ICSD,39762,C2/c (15),1,20,130,3,0,0,0.285,(1;011),0
VH2O3,ICSD,16727,C2/c (15),1,12,66,2,0,0,0.336,(1;101),0
VAgO3,COD,1509498,C2/c (15),1,20,168,3,1.898,1.899,0,(0;000),0
VAg3O4,COD,4001677,C2/c (15),1,16,140,3,0.8865,1.16,0,(0;000),0
V3O5,COD,2106479,C2/c (15),1,16,138,3,0,0,0.593,(1;011),0
V3O5,COD,1527091,C2/c (15),1,16,138,3,0,0,0.744,(1;011),0
V2Zn2O7,ICSD,2886,C2/c (15),1,22,184,3,2.5041,2.607,0,(0;000),0
V2Se9,ICSD,48145,C2/c (15),1,22,160,2,0.4041,0.452,0,(0;000),0
V2O5,ICSD,156052,C2/c (15),1,14,112,3,1.3792,1.492,0,(0;000),0
V2Cu2O7,COD,9014910,C2/c (15),1,22,180,3,0,0.012,0.274,(0;110),0
TlV2AgO6,ICSD,201934,C2/c (15),1,20,172,3,2.1923,2.201,0,(0;000),0
TlAuCl4,COD,2018865,C2/c (15),1,12,104,1,1.7994,1.82,0,(0;000),0
Tl2Te3,ICSD,410895,C2/c (15),1,10,88,3,0.4198,0.587,0,(0;000),0
Tl2Sn2S5,COD,7221342,C2/c (15),1,18,168,3,1.4213,1.473,0,(0;000),0
Tl2Sn2S3,ICSD,33531,C2/c (15),1,14,144,3,0.4087,0.45,0,(0;000),0
Tl2Se3,ICSD,652069,C2/c (15),1,10,88,1,0.546,0.716,0,(0;000),0
Tl2Hg3Te4,COD,4000819,C2/c (15),1,18,172,3,0.3354,0.335,0,(0;000),0
Tl2Hg3Se4,COD,4000818,C2/c (15),1,18,172,3,1.0186,1.019,0,(0;000),0
Tl2Hg3S4,COD,4000817,C2/c (15),1,18,172,3,1.5047,1.601,0,(0;000),0
Tl2CS3,ICSD,420223,C2/c (15),1,12,96,1,1.4572,1.6,0,(0;000),0
Tl2B2Se7,COD,1510832,C2/c (15),1,22,148,3,1.2078,1.298,0,(0;000),0
TiAs2O7,COD,4030527,C2/c (15),1,20,128,3,2.933,3.166,0,(0;000),0
Ti(AlCl4)2,ICSD,39565,C2/c (15),1,22,148,2,0,0.007,0.196,(0;000),0
Ti(AlBr4)2,ICSD,40904,C2/c (15),1,22,148,2,0,0.009,0.262,(0;000),0
Ti3O5,COD,4512563,C2/c (15),1,16,132,3,0,0.005,0.399,(1;000),0
Ti2CrO5,COD,2002414,C2/c (15),1,16,136,3,0,0.004,0.425,(0;000),0
TePb2O5,COD,9015570,C2/c (15),1,16,128,3,2.1428,2.356,0,(0;000),0
Te8RuCl2,ICSD,422366,C2/c (15),1,22,156,2,0.1936,0.197,0,(0;000),0
Ta2SnO7,COD,9000194,C2/c (15),1,20,164,3,0.5845,0.624,0,(0;000),0
Ta2O5,COD,2102123,C2/c (15),1,14,112,3,3.6486,3.867,0,(0;000),0
Ta2NiSe5,ICSD,61148,C2/c (15),1,16,132,2,0,0.016,0.014,(1;000),0
Sr(P3Pt2)2,ICSD,62517,C2/c (15),1,22,160,3,0.4578,0.637,0,(0;000),0
SrGa4O7,COD,2002229,C2/c (15),1,24,208,3,2.8686,2.869,0,(0;000),0
