Formula,Source,ID,space group,centered,natoms,nelectrons,dim,bandgap,directbandgap,metallicity,ν,wcc
PbWO4,COD,1527935,I4_1/a (88),1,12,132,2,0,0.01,0.31,(1;111),0
PbWO2,COD,5910060,I4_1/a (88),1,16,160,3,0,0.057,0.623,(1;111),0
NaReO4,ICSD,52337,I4_1/a (88),1,12,96,1,3.8048,3.88,0,(0;000),0
NaIO4,COD,2106357,I4_1/a (88),1,12,80,1,2.3682,2.392,0,(0;000),0
NaIO4,COD,1010016,I4_1/a (88),1,12,80,3,0,0.014,0.493,(1;111),0
NaAlH4,ICSD,8022,I4_1/a (88),1,12,32,1,0.5856,1.005,0,(0;000),0
MoPbO4,COD,9009404,I4_1/a (88),1,12,104,3,2.6238,2.74,0,(0;000),0
MgGa,COD,1522869,I4_1/a (88),1,16,184,1,0,0.002,0.338,(1;111),0
LiYF4,COD,1531435,I4_1/a (88),1,12,84,3,8.7447,8.766,0,(0;000),0
LiYF2,COD,2001129,I4_1/a (88),1,16,112,3,0,0.01,0.659,(1;111),0
LiSi,COD,4030885,I4_1/a (88),1,16,56,3,0,0.662,0.046,(1;111),0
LiSi,ICSD,96509,I4_1/a (88),1,16,56,1,0,0.085,0.336,(1;111),0
LiScF4,ICSD,413966,I4_1/a (88),1,12,84,3,6.3135,6.319,0,(0;000),0
LiGe,COD,4030886,I4_1/a (88),1,16,56,3,0,0.099,0.259,(1;111),0
LiBiF4,ICSD,65404,I4_1/a (88),1,12,92,3,4.0319,4.162,0,(0;000),0
Li4HN,COD,8100739,I4_1/a (88),1,12,36,1,2.0734,2.437,0,(0;000),0
KTl(CN)4,COD,4308988,I4_1/a (88),1,20,116,1,5.7854,5.883,0,(0;000),0
KTlCl4,COD,1527421,I4_1/a (88),1,12,100,1,2.6111,2.611,0,(0;000),0
KTcO4,COD,1501467,I4_1/a (88),1,12,96,1,1.4113,0.145,1,(0;000),0
KRuO4,COD,1008130,I4_1/a (88),1,12,98,1,0,0,0.694,(1;111),0
KReO4,COD,2106705,I4_1/a (88),1,12,96,1,4.3067,4.307,0,(0;000),0
KIO4,COD,1010306,I4_1/a (88),1,12,80,1,0,0.002,0.338,(1;111),0
KIO4,ICSD,26964,I4_1/a (88),1,12,80,3,0.0835,0.084,0,(0;000),0
KH4F5,COD,1532621,I4_1/a (88),1,20,96,1,5.6134,5.613,0,(0;000),0
KF5,COD,4335158,I4_1/a (88),1,12,88,1,0,0,0.199,(1;111),0
KB(CN)4,ICSD,411180,I4_1/a (88),1,20,96,1,6.4334,6.461,0,(0;000),0
K2ReO2,COD,2001934,I4_1/a (88),1,20,180,3,0,0.017,0.165,(1;111),0
InH4NCl4,ICSD,419830,I4_1/a (88),1,20,100,1,3.811,3.811,0,(0;000),0
HfGeO4,COD,1001684,I4_1/a (88),1,12,80,3,4.3629,4.433,0,(0;000),0
H4INO4,COD,2008618,I4_1/a (88),1,20,80,1,2.8578,2.859,0,(0;000),0
CuN3,COD,2310148,I4_1/a (88),1,16,104,3,1.8276,1.869,0,(0;000),0
CsB(CN)4,COD,4308582,I4_1/a (88),1,20,96,1,6.6641,6.715,0,(0;000),0
CdMoO4,COD,1001800,I4_1/a (88),1,12,100,3,2.5086,2.554,0,(0;000),0
CaZnF4,COD,1529060,I4_1/a (88),1,12,100,1,5.3128,5.313,0,(0;000),0
CaWO4,COD,9009628,I4_1/a (88),1,12,124,1,3.949,3.949,0,(0;000),0
CaMoO4,COD,9009638,I4_1/a (88),1,12,96,1,3.4169,3.417,0,(0;000),0
Ca(AuO2)2,COD,7209402,I4_1/a (88),1,14,112,3,1.6019,1.602,0,(0;000),0
BiMoO2,COD,2000338,I4_1/a (88),1,16,164,3,0,0.023,0.324,(1;111),0
BiAsO4,ICSD,30636,I4_1/a (88),1,12,88,3,2.5964,2.603,0,(0;000),0
BiAsO4,COD,9007425,I4_1/a (88),1,12,88,3,2.6084,2.614,0,(0;000),0
BaWO4,ICSD,52384,I4_1/a (88),1,12,124,2,4.1591,4.294,0,(0;000),0
BaWO2,COD,5910071,I4_1/a (88),1,16,144,3,0,0.017,0.346,(1;111),0
BaMoO4,COD,2300459,I4_1/a (88),1,12,96,1,4.5904,4.59,0,(0;000),0
BaMoO2,COD,5910093,I4_1/a (88),1,16,144,3,0,0.021,0.336,(1;111),0
Ba(AuO2)2,COD,1510361,I4_1/a (88),1,14,112,3,1.4882,1.531,0,(0;000),0
AgO,COD,1509487,I4_1/a (88),1,16,136,3,0.2151,0.469,0,(0;000),0
AgIO4,COD,1509390,I4_1/a (88),1,12,84,3,2.4042,2.526,0,(0;000),0
AgIO2,COD,5910025,I4_1/a (88),1,16,120,3,0,0.016,0.429,(1;111),0
Sn4Rh,ICSD,174219,I4_1/acd (142),1,20,292,3,0,0.001,0.55,(1;111),0
Sn4Ir,ICSD,412573,I4_1/acd (142),1,20,292,3,0,0.003,0.491,(1;111),0
NaC,COD,1521140,I4_1/acd (142),1,16,104,1,3.5905,3.703,0,(0;000),0
KC,COD,1521141,I4_1/acd (142),1,16,104,1,3.3837,3.412,0,(0;000),0
ZrSiO4,COD,9002561,I4_1/amd (141),1,12,64,3,4.4361,4.633,0,(0;000),0
ZrSi,ICSD,31084,I4_1/amd (141),1,4,16,3,0,0,0.536,(1;111),0
ZrIn2,ICSD,640720,I4_1/amd (141),1,12,120,3,0,0.016,0.551,(1;111),0
ZrGa,COD,1522708,I4_1/amd (141),1,8,68,3,0,0.004,0.747,(1;111),0
YVO4,COD,9009764,I4_1/amd (141),1,12,96,3,2.9575,2.958,0,(0;000),0
YSi2,ICSD,150662,I4_1/amd (141),1,6,38,3,0,0,0.683,(1;111),0
YPO4,COD,9001654,I4_1/amd (141),1,12,80,3,5.9664,6.176,0,(0;000),0
YGe2,ICSD,76344,I4_1/amd (141),1,6,38,3,0,0,0.648,(1;111),0
YCrO4,COD,1008143,I4_1/amd (141),1,12,98,3,0,0,0.93,(1;111),0
YAsO4,COD,1010919,I4_1/amd (141),1,12,80,3,3.2433,3.28,0,(0;000),0
VBiO4,COD,9011741,I4_1/amd (141),1,12,104,3,2.5386,2.543,0,(0;000),0
V2PO5,ICSD,79681,I4_1/amd (141),1,16,122,3,0,0,0.725,(1;111),0
V2H,ICSD,61422,I4_1/amd (141),1,12,108,3,0,0.003,0.756,(1;111),0
TiO2,COD,9008216,I4_1/amd (141),1,6,48,3,2.1406,2.472,0,(0;000),0
TiGa2,ICSD,635561,I4_1/amd (141),1,12,152,3,0,0.005,0.6,(1;111),0
TiAl2,ICSD,107009,I4_1/amd (141),1,12,72,3,0,0.003,0.599,(1;111),0
TaP,COD,9008974,I4_1/amd (141),1,4,36,3,0,0.009,0.478,(1;111),0
TaBO4,COD,1511288,I4_1/amd (141),1,12,80,3,3.5135,3.581,0,(0;000),0
SrSi2,COD,1527358,I4_1/amd (141),1,6,36,3,0,0.014,0.249,(1;111),0
SrLi4N2,ICSD,87413,I4_1/amd (141),1,14,64,1,0.9167,1.149,0,(0;000),0
Sr(CuO)2,ICSD,25002,I4_1/amd (141),1,10,88,3,1.8259,1.826,0,(0;000),0
Sr4In2N,ICSD,62536,I4_1/amd (141),1,14,142,1,0,0,0.891,(1;111),0
Sr,COD,9011726,I4_1/amd (141),1,2,20,1,0,0.003,0.174,(1;111),0
Sn,COD,9008570,I4_1/amd (141),1,2,28,3,0,0.083,0.441,(1;111),0
ScVO4,COD,4501809,I4_1/amd (141),1,12,96,3,2.6191,2.619,0,(0;000),0
ScSn2,ICSD,106965,I4_1/amd (141),1,12,156,3,0,0.007,0.811,(1;111),0
ScPO4,COD,2310638,I4_1/amd (141),1,12,80,3,4.4694,4.641,0,(0;000),0
ScAsO4,ICSD,155920,I4_1/amd (141),1,12,80,3,4.1602,4.16,0,(0;000),0
ReB,COD,1511506,I4_1/amd (141),1,16,144,3,0,0.003,0.609,(1;111),0
Rb,ICSD,109018,I4_1/amd (141),1,2,18,3,0,0,0.554,(1;111),0
Pd2Cl2O,ICSD,61333,I4_1/amd (141),1,10,112,3,0.8284,1.027,0,(0;000),0
Pb(CO)4,ICSD,248144,I4_1/amd (141),1,18,108,3,3.0547,3.41,0,(0;000),0
Ni(RhO2)2,ICSD,23487,I4_1/amd (141),1,14,136,3,0,0.001,0.403,(1;111),0
NbP,COD,9008973,I4_1/amd (141),1,4,36,3,0,0.011,0.453,(1;111),0
NbBO4,COD,9012847,I4_1/amd (141),1,12,80,3,2.8207,2.846,0,(0;000),0
NaIO2,COD,1010624,I4_1/amd (141),1,8,56,3,0,0.021,0.11,(1;111),0
NaI,COD,9015919,I4_1/amd (141),1,4,32,1,1.0237,1.101,0,(0;000),0
Mo2N,ICSD,30593,I4_1/amd (141),1,6,66,3,0,0,0.793,(1;111),0
Mn2ZnO4,COD,9012842,I4_1/amd (141),1,14,132,3,0,0.011,0.43,(1;111),0
Mn2CdO4,ICSD,24258,I4_1/amd (141),1,14,132,3,0,0.012,0.586,(1;111),0
Mn,ICSD,163245,I4_1/amd (141),1,2,30,3,0,0,0.841,(1;111),0
MgMn2O4,COD,1528844,I4_1/amd (141),1,14,128,3,0,0.002,0.31,(1;111),0
MgAl2,ICSD,608412,I4_1/amd (141),1,12,64,3,0,0.016,0.882,(1;111),0
Mg2NF,ICSD,262327,I4_1/amd (141),1,8,64,3,2.2789,2.355,0,(0;000),0
Mg2NF,COD,1528308,I4_1/amd (141),1,8,64,3,0,0.039,0.077,(1;111),0
LiTlO2,ICSD,33633,I4_1/amd (141),1,8,56,3,0.1194,1.173,0,(0;000),0
LiTiO2,ICSD,164158,I4_1/amd (141),1,8,54,3,0,0,0.622,(1;111),0
LiSn,ICSD,107516,I4_1/amd (141),1,12,102,3,0,0,0.856,(1;111),0
LiScO2,ICSD,36124,I4_1/amd (141),1,8,52,3,3.951,3.968,0,(0;000),0
LiMnO2,COD,1513963,I4_1/amd (141),1,16,120,3,0,0.001,0.726,(1;111),0
LiInO2,ICSD,639886,I4_1/amd (141),1,8,56,3,1.4431,1.809,0,(0;000),0
LiGe,ICSD,60843,I4_1/amd (141),1,12,42,1,0,0,0.849,(1;111),0
LiFeO2,ICSD,31149,I4_1/amd (141),1,8,46,3,0,0,0.787,(1;111),0
LiAg,ICSD,247145,I4_1/amd (141),1,4,28,3,0,0.025,0.646,(1;111),0
Li3BN2,ICSD,155127,I4_1/amd (141),1,24,88,1,3.346,3.346,0,(0;000),0
Li2Sn2Au,ICSD,192982,I4_1/amd (141),1,10,90,3,0,0,0.914,(1;111),0
Li2CuSn2,ICSD,426084,I4_1/amd (141),1,10,90,3,0,0,0.933,(1;111),0
Li2BF5,ICSD,426821,I4_1/amd (141),1,16,88,1,7.2587,7.289,0,(0;000),0
Li2AgSn2,ICSD,426085,I4_1/amd (141),1,10,90,3,0,0,0.927,(1;111),0
KP,COD,9016510,I4_1/amd (141),1,4,28,1,0,0.015,0.048,(1;111),0
HgI2,COD,9008155,I4_1/amd (141),1,24,208,3,1.2969,1.297,0,(0;000),0
HfSiO4,COD,9000852,I4_1/amd (141),1,12,80,3,5.4533,5.848,0,(0;000),0
HfGe,COD,9016210,I4_1/amd (141),1,4,32,3,0,0.002,0.343,(1;111),0
HfGa2,COD,1522868,I4_1/amd (141),1,12,152,3,0,0.032,0.505,(1;111),0
Ge,ICSD,636530,I4_1/amd (141),1,2,8,3,0,0.027,0.455,(1;111),0
Cu(RhO2)2,COD,2006191,I4_1/amd (141),1,14,138,3,0,0,0.78,(1;111),0
Cu4O3,COD,9000603,I4_1/amd (141),1,14,124,3,0,0.025,0.679,(1;111),0
Cu2GeO4,COD,1524532,I4_1/amd (141),1,14,100,3,0,0.001,0.845,(1;111),0
Cu2Ag2O3,COD,1509784,I4_1/amd (141),1,14,124,3,0,0.008,0.587,(0;000),0
CsS,ICSD,38566,I4_1/amd (141),1,4,30,1,0,0,0.529,(1;111),0
CsReO4,ICSD,72817,I4_1/amd (141),1,12,96,1,4.7877,4.788,0,(0;000),0
CsH3O2,COD,2012559,I4_1/amd (141),1,12,48,3,4.5945,4.737,0,(0;000),0
CsBrO4,COD,4031454,I4_1/amd (141),1,12,80,1,3.8217,3.822,0,(0;000),0
Cs,ICSD,150187,I4_1/amd (141),1,2,18,3,0,0,0.599,(1;111),0
CrB,ICSD,613476,I4_1/amd (141),1,8,68,3,0,0.005,0.669,(1;111),0
Cl2O,ICSD,407768,I4_1/amd (141),1,12,80,1,1.1441,1.193,0,(0;000),0
CaW,ICSD,28952,I4_1/amd (141),1,4,48,1,0,0.019,0.278,(1;111),0
CaSi2,ICSD,248532,I4_1/amd (141),1,6,36,3,0,0.003,0.257,(1;111),0
CaIn2O4,ICSD,52390,I4_1/amd (141),1,14,120,3,2.1818,2.208,0,(0;000),0
CaCrO4,COD,1010939,I4_1/amd (141),1,12,96,1,2.8326,2.833,0,(0;000),0
Ca(CO)4,ICSD,248078,I4_1/amd (141),1,18,100,1,4.1602,4.205,0,(0;000),0
Ca4In2N,ICSD,62535,I4_1/amd (141),1,14,142,1,0,0,0.958,(1;111),0
BW,COD,9008954,I4_1/amd (141),1,8,68,3,0,0.008,1,(1;111),0
BMo,COD,9008953,I4_1/amd (141),1,8,68,3,0,0.032,0.69,(1;111),0
BaGe2,COD,7221343,I4_1/amd (141),1,6,36,3,0,0.005,0.182,(1;111),0
Ba(CuO)2,COD,2002215,I4_1/amd (141),1,10,88,3,1.3364,1.336,0,(0;000),0
AuCl,ICSD,6052,I4_1/amd (141),1,8,72,3,1.1538,1.154,0,(0;000),0
AuBr,COD,1510609,I4_1/amd (141),1,8,72,3,1.431,1.431,0,(0;000),0
SiO2,ICSD,170510,I4_122 (98),0,12,64,3,5.05,5.05,0,(0;000),0
SiO2,COD,4124066,I4_122 (98),0,24,128,3,4.6966,4.697,0,(0;000),0
CdAs2,ICSD,16037,I4_122 (98),0,6,44,3,0.2887,0.909,0,(0;000),1
VSbO4,COD,2101705,I4_1md (109),0,12,84,3,0,0.004,1,NaN,0
TaP,ICSD,648185,I4_1md (109),0,4,36,3,0,0.05,0.015,(1;001),1
TaAs,ICSD,44068,I4_1md (109),0,4,36,3,0,0.041,0.008,(1;001),1
NbP,ICSD,645167,I4_1md (109),0,4,36,3,0,0.024,0.025,(1;100),1
NbAs,ICSD,16585,I4_1md (109),0,4,36,3,0,0.019,0.026,(0;101),1
Li8TeN2,ICSD,247257,I4_1md (109),0,22,80,1,2.2789,2.28,0,(0;000),0
Li8SeN2,ICSD,247255,I4_1md (109),0,22,80,1,1.648,1.648,0,(0;000),0
Ga2TeSe2,ICSD,64617,I4_1md (109),0,10,88,3,1.673,1.679,0,(0;000),0
Ga2TeS2,ICSD,8028,I4_1md (109),0,10,88,3,1.9488,1.98,0,(0;000),0
CaAsPt,ICSD,60828,I4_1md (109),0,18,150,3,0,0,0.945,NaN,0
Ba2S3,ICSD,70058,I4_1md (109),0,10,76,1,0.7201,0.736,0,(0;000),0
Zr9Pt11,COD,1522663,I4/m (87),1,20,146,3,0,0.002,0.376,(0;111),0
Zr9Ni11,COD,1523714,I4/m (87),1,20,146,3,0,0.002,0.507,(0;111),0
Zr5Te4,ICSD,409337,I4/m (87),1,9,84,3,0,0.002,0.686,(1;111),0
Zr5Te4,COD,8101423,I4/m (87),1,9,44,3,0,0.001,0.69,(1;111),0
VO2,ICSD,51214,I4/m (87),1,12,100,3,0,0.002,0.925,(0;000),0
TlSb4F13,COD,5910319,I4/m (87),1,18,124,1,2.0098,2.151,0,(0;000),0
TiAu4,ICSD,109132,I4/m (87),1,5,56,3,0,0.134,0.429,(0;111),0
Ti5Te4,COD,2310397,I4/m (87),1,9,84,3,0,0.002,0.609,(1;111),0
Ti5Te4,ICSD,15451,I4/m (87),1,9,84,3,0,0.002,0.609,(1;111),0
Ti5Se4,ICSD,55075,I4/m (87),1,9,84,3,0,0.004,0.585,(1;111),0
Ti4O5,ICSD,174033,I4/m (87),1,9,78,3,0,0.003,0.821,(1;111),0
Ti4O5,ICSD,77697,I4/m (87),1,9,78,3,0,0.006,0.832,(1;111),0
Sr2ZrTiO6,ICSD,190548,I4/m (87),1,10,72,3,2.6501,2.673,0,(0;000),0
Sr2TaGaO6,COD,2100516,I4/m (87),1,10,82,3,4.0011,4.001,0,(0;000),0
Sr2NiOsO6,ICSD,152442,I4/m (87),1,10,82,3,0,0.014,0.265,(0;000),0
Sr2NbCoO6,ICSD,192327,I4/m (87),1,10,86,3,0.1441,0.157,0,(0;000),0
Sr2MgMoO6,ICSD,187662,I4/m (87),1,10,80,3,2.1556,2.197,0,(0;000),0
Sr2CoReO6,ICSD,262352,I4/m (87),1,10,88,3,0,0.007,0.544,(0;000),0
Si5Pt12,ICSD,77977,I4/m (87),1,17,140,3,0,0.006,0.679,(1;111),0
RbSb4F13,COD,5910267,I4/m (87),1,18,120,1,2.4717,2.485,0,(0;000),0
RbCuO,COD,1527532,I4/m (87),1,12,104,2,1.3663,1.415,0,(0;000),0
RbCuO,ICSD,15100,I4/m (87),1,12,104,2,1.3663,1.415,0,(0;000),0
Ni(NF7)2,ICSD,26397,I4/m (87),1,17,118,1,1.8711,1.877,0,(0;000),0
Ni4W,ICSD,105452,I4/m (87),1,5,54,3,0,0.023,0.698,(1;000),0
Ni4W,COD,1523560,I4/m (87),1,5,54,3,0,0.023,0.698,(1;000),0
Ni4Mo,ICSD,105047,I4/m (87),1,5,54,3,0,0.001,0.721,(1;000),0
Ni4Mo,COD,1523776,I4/m (87),1,5,54,3,0,0.001,0.721,(1;000),0
NaCuO,ICSD,15099,I4/m (87),1,12,104,3,1.2831,1.388,0,(0;000),0
NaCuO,COD,1527531,I4/m (87),1,12,104,3,1.2829,1.388,0,(0;000),0
Mo5As4,ICSD,43186,I4/m (87),1,9,90,3,0,0.006,0.602,(1;000),0
Mo5As4,ICSD,610956,I4/m (87),1,9,90,3,0,0.001,0.847,(1;111),0
Mo5As4,ICSD,43187,I4/m (87),1,9,90,3,0,0.001,0.537,(1;000),0
MnO2,ICSD,20227,I4/m (87),1,12,108,3,0,0.001,0.936,(1;000),0
KSb4F13,COD,5910285,I4/m (87),1,18,120,1,0,2.514,1,(0;000),0
KCuO,ICSD,25695,I4/m (87),1,12,104,2,1.3193,1.48,0,(0;000),0
Hf9Ni11,ICSD,638706,I4/m (87),1,20,218,3,0,0.001,0.502,(0;000),0
Hf5Te4,ICSD,154358,I4/m (87),1,9,84,3,0,0.001,0.544,(1;111),0
Ga2Te5,ICSD,635505,I4/m (87),1,7,56,3,0.7831,0.801,0,(0;000),0
Ga2Te5,ICSD,1085,I4/m (87),1,7,56,3,0.8135,0.828,0,(0;000),0
Fe4C,ICSD,187144,I4/m (87),1,5,36,3,0,0.008,0.732,(0;111),0
CsSb4F13,COD,5910189,I4/m (87),1,18,120,3,2.4393,2.443,0,(0;000),0
CrAu4,ICSD,611737,I4/m (87),1,5,58,3,0,0.001,0.459,(0;111),0
BiF5,ICSD,25023,I4/m (87),1,6,50,2,3.1288,3.527,0,(0;000),0
Bi4RuI2,ICSD,406949,I4/m (87),1,14,180,2,0.3499,0.409,0,(0;000),0
Ba(FeS2)2,ICSD,23081,I4/m (87),1,7,50,1,0,0.002,0.245,(0;111),0
Ba(Cu2P)4,ICSD,66016,I4/m (87),1,13,118,3,0,0.005,0.981,(1;111),0
Ba(Cu2As)4,ICSD,66017,I4/m (87),1,13,118,3,0,0.002,0.977,(1;111),0
Ba9In4,ICSD,421410,I4/m (87),1,13,142,1,0,0.002,0.722,(1;000),0
AgClO3,COD,8103389,I4/m (87),1,20,144,3,3.0144,3.202,0,(0;000),0
Zr5Al3,ICSD,58236,I4/mcm (140),1,16,58,3,0,0,0.691,(1;000),0
Zr4NbGa3,ICSD,634794,I4/mcm (140),1,16,136,3,0,0.001,0.724,(0;000),0
Zr3W5,ICSD,653434,I4/mcm (140),1,16,304,3,0,0,0.548,(1;000),0
Zr2Si,ICSD,652618,I4/mcm (140),1,6,24,3,0,0.004,0.346,(1;000),0
Zr2Rh,COD,1524522,I4/mcm (140),1,6,50,3,0,0,0.779,(0;111),0
Zr2Ni,COD,2310220,I4/mcm (140),1,6,36,3,0,0.003,0.228,(0;111),0
Zr2Ir,ICSD,641204,I4/mcm (140),1,6,50,3,0,0,0.574,(1;111),0
Zr2Ga,COD,1524521,I4/mcm (140),1,6,42,3,0,0,0.62,(0;111),0
Zr2Fe,COD,1523794,I4/mcm (140),1,6,32,3,0,0,0.535,(1;000),0
Zr2Co,COD,1524514,I4/mcm (140),1,6,50,3,0,0,0.765,(0;000),0
Zr2Al,ICSD,150774,I4/mcm (140),1,6,22,3,0,0.001,0.722,(0;111),0
Y5Ni2Bi,ICSD,190147,I4/mcm (140),1,16,180,3,0,0.007,0.472,(1;111),0
VSb2,COD,8100157,I4/mcm (140),1,6,46,3,0,0,0.536,(1;000),0
V5SiB2,COD,1510833,I4/mcm (140),1,16,150,3,0,0.001,0.686,(1;100),0
V5Si3,ICSD,652495,I4/mcm (140),1,16,154,3,0,0,0.323,(0;000),0
V5Ge3,ICSD,638092,I4/mcm (140),1,16,154,3,0,0,0.28,(0;111),0
V5As3,ICSD,611571,I4/mcm (140),1,16,160,3,0,0.001,0.532,(0;111),0
V4SiSb2,ICSD,82564,I4/mcm (140),1,14,132,3,0,0.007,0.927,(1;000),0
TlTe,ICSD,653092,I4/mcm (140),1,16,152,3,2.4777,0.047,1,(0;000),0
TlTe,COD,1521987,I4/mcm (140),1,16,152,3,2.2939,0.01,1,(0;000),0
TlSn2Br5,ICSD,151988,I4/mcm (140),1,16,152,2,2.2195,2.42,0,(0;000),0
TlSe,COD,9008952,I4/mcm (140),1,8,76,1,0,0.367,0.043,(0;000),0
TlS,ICSD,651247,I4/mcm (140),1,8,76,1,0.2067,0.589,0,(0;000),0
TlN3,ICSD,34271,I4/mcm (140),1,8,56,1,1.3825,1.933,0,(0;000),0
TlInTe2,COD,1527853,I4/mcm (140),1,8,76,1,0.3005,0.382,0,(0;000),0
TlInSe2,ICSD,640528,I4/mcm (140),1,8,76,1,0,0.013,0.035,(0;000),0
TlInSe2,COD,1527852,I4/mcm (140),1,8,76,1,0.3952,0.395,0,(0;000),0
TlInS2,ICSD,600748,I4/mcm (140),1,8,76,1,0.6757,0.676,0,(0;000),0
TlGaTe2,COD,1527851,I4/mcm (140),1,8,76,3,0.2219,0.263,0,(0;000),0
TlGaSe2,COD,7221239,I4/mcm (140),1,8,76,1,0.2788,0.28,0,(0;000),0
TlAgI2,COD,1509391,I4/mcm (140),1,8,76,1,1.1422,1.142,0,(0;000),0
Tl5Te3,ICSD,40260,I4/mcm (140),1,16,166,3,0,0,0.538,(0;000),0
Tl5Te2Br,ICSD,427679,I4/mcm (140),1,16,168,3,0.0633,0.064,0,(0;000),0
Tl5Se2Br,ICSD,75960,I4/mcm (140),1,16,168,3,0.1085,0.117,0,(0;000),0
Tl4Te3Pb,ICSD,648621,I4/mcm (140),1,16,168,3,0,0.04,0.02,(0;000),0
Tl4SnTe3,COD,1523050,I4/mcm (140),1,16,168,3,0,0.057,0.193,(0;000),0
Tl4SnSe3,ICSD,651938,I4/mcm (140),1,16,168,3,0,0.052,0.044,(0;000),0
Tl4PbSe3,ICSD,648545,I4/mcm (140),1,16,168,3,0,0.016,0.044,(0;000),0
Tl4CuTe3,ICSD,629347,I4/mcm (140),1,16,162,3,2.3512,0.004,1,(0;000),0
Tl4AuSe3,ICSD,612311,I4/mcm (140),1,16,162,3,2.7617,0.007,1,(0;000),0
Tl3FeCl5,COD,1523978,I4/mcm (140),1,18,164,1,0,0.001,0.349,(1;001),0
Tl3CoCl5,COD,1523977,I4/mcm (140),1,18,182,1,0,0,0.321,(0;111),0
Tl2SnTe5,ICSD,73666,I4/mcm (140),1,16,140,3,0,0.012,0.128,(0;000),0
Tl2Pt,COD,1524516,I4/mcm (140),1,6,72,3,0,0.093,0.738,(1;000),0
Tl2Pd,COD,1524515,I4/mcm (140),1,6,88,3,0,0.003,0.43,(1;000),0
Tl2Au,COD,1510315,I4/mcm (140),1,6,74,3,0,0.002,0.689,(1;111),0
TiV4Si3,ICSD,652443,I4/mcm (140),1,16,152,3,0,0,0.655,(1;000),0
TiSb2,COD,4339242,I4/mcm (140),1,6,44,3,0,0.001,0.287,(1;000),0
Ti5Sb2Rh,COD,1531573,I4/mcm (140),1,16,174,3,0,0,0.596,(1;111),0
Ti5Ga3,ICSD,635551,I4/mcm (140),1,16,198,3,0,0.001,0.692,(0;111),0
Ti5FeSb2,COD,1531840,I4/mcm (140),1,16,156,3,0,0.002,0.603,(1;000),0
Ti5CuSb2,ICSD,159248,I4/mcm (140),1,16,162,3,0,0.001,0.677,(1;000),0
Ti4NiBi2,ICSD,150148,I4/mcm (140),1,14,176,3,0,0.001,0.464,(0;000),0
Ti4MnBi2,ICSD,150145,I4/mcm (140),1,14,186,3,0,0,0.573,(1;111),0
Ti4FeBi2,ICSD,150146,I4/mcm (140),1,14,172,3,0,0.002,0.679,(1;111),0
Ti4CoBi2,ICSD,150147,I4/mcm (140),1,14,190,3,0,0,0.92,(1;111),0
Ti3Sb,ICSD,43355,I4/mcm (140),1,16,164,3,0,0.002,0.74,(1;111),0
Ta5Si3,ICSD,652304,I4/mcm (140),1,16,154,3,0,0,0.365,(0;000),0
Ta5Si3,COD,1528331,I4/mcm (140),1,16,154,3,0,0.001,0.642,(0;111),0
Ta5Ge3,ICSD,44744,I4/mcm (140),1,16,154,3,0,0,0.785,(1;000),0
Ta5Ge3,ICSD,44743,I4/mcm (140),1,16,154,3,0,0,0.412,(0;111),0
Ta5Ga3,ICSD,635491,I4/mcm (140),1,16,208,3,0,0.003,0.716,(1;000),0
Ta5Ga3,ICSD,635482,I4/mcm (140),1,16,208,3,0,0.018,0.631,(0;000),0
Ta5Ga2Sn,ICSD,635448,I4/mcm (140),1,16,210,3,0,0,0.547,(0;000),0
Ta2Si,ICSD,652302,I4/mcm (140),1,6,60,3,0,0.075,0.341,(1;000),0
Ta2Ni,COD,1524530,I4/mcm (140),1,6,72,3,0,0.008,0.544,(0;111),0
Ta2Co,COD,1524529,I4/mcm (140),1,6,86,3,0,0,0.498,(0;111),0
Ta2Be,ICSD,58738,I4/mcm (140),1,6,60,3,0,0.005,0.34,(1;000),0
Ta2B,COD,1511330,I4/mcm (140),1,6,58,3,0,0,0.603,(0;111),0
SrZrO3,ICSD,89362,I4/mcm (140),1,10,64,3,3.0289,3.029,0,(0;000),0
SrTaNO2,ICSD,411137,I4/mcm (140),1,10,80,3,0.3862,0.386,0,(0;000),0
SrSnO3,ICSD,153532,I4/mcm (140),1,10,84,3,1.4616,1.462,0,(0;000),0
SrS2,ICSD,642,I4/mcm (140),1,6,44,1,1.3022,2.079,0,(0;000),0
SrRuO3,ICSD,86940,I4/mcm (140),1,10,88,3,0,0.011,0.547,(0;000),0
SrPdF4,ICSD,108990,I4/mcm (140),1,12,112,1,1.4029,1.403,0,(0;000),0
Sr(Ni2Sn)2,ICSD,418131,I4/mcm (140),1,14,156,3,0,0.001,0.333,(1;111),0
SrHfO3,ICSD,89385,I4/mcm (140),1,10,80,3,3.9522,3.958,0,(0;000),0
SrCuF4,ICSD,9927,I4/mcm (140),1,12,98,1,0,0.001,0.584,(0;000),0
Sr(Cu2Sn)2,ICSD,422455,I4/mcm (140),1,14,164,3,0,0.003,0.752,(1;111),0
SrCrF4,ICSD,9929,I4/mcm (140),1,12,104,1,0,0.001,0.196,(0;000),0
SrCrF4,ICSD,26105,I4/mcm (140),1,12,104,1,0.1691,0.17,0,(0;000),0
Sr(BeN)2,ICSD,413356,I4/mcm (140),1,10,56,1,1.993,2.104,0,(0;000),0
Sr5Tl3,ICSD,652883,I4/mcm (140),1,16,178,1,0,0.002,0.707,(1;111),0
