SG,Top_Class,Formula,Source,ID,centered,natoms,nelectrons,dim,bandgap,directbandgap,metallicity,Z2,wcc
11,2.0,AlAu,ICSD,104649,1.0,8.0,56.0,3.0,0.0,0.126,0.308,(1;000),1.0
11,4.0,TaNi2Te3,ICSD,82605,1.0,12.0,102.0,3.0,0.0,0.0,0.972,(1;010),0.0
11,4.0,Zr2NiP,ICSD,84826,1.0,8.0,46.0,3.0,0.0,0.0,0.865,(0;010),0.0
11,4.0,Y3IrI3,ICSD,71524,1.0,14.0,142.0,3.0,0.0,0.0,0.41,(1;000),0.0
11,4.0,Hf2NiP,ICSD,405616,1.0,8.0,78.0,3.0,0.0,0.0,0.949,(0;000),0.0
11,4.0,TlCuHSeO5,ICSD,36582,1.0,18.0,122.0,2.0,0.0,0.0,0.332,(0;000),0.0
11,4.0,TlCuHSO5,ICSD,36581,1.0,18.0,122.0,2.0,0.0,0.0,0.346,(0;010),0.0
11,4.0,KOsNOF5,ICSD,166586,1.0,18.0,142.0,1.0,0.0,0.0,0.965,(0;000),0.0
11,4.0,Cu(IO3)2,ICSD,2232,1.0,18.0,122.0,2.0,0.0,0.0,0.426,(0;011),0.0
11,4.0,CuWO3F2,ICSD,60759,1.0,14.0,142.0,3.0,0.0,0.0,0.474,(0;010),0.0
11,4.0,CsOsNOF5,ICSD,166587,1.0,18.0,142.0,1.0,0.0,0.0,0.67,(0;000),0.0
11,4.0,ZrCr5P3,ICSD,409488,1.0,18.0,178.0,3.0,0.0,0.0,0.839,(0;010),0.0
11,4.0,NbCrSe5,ICSD,35044,1.0,14.0,114.0,2.0,0.0,0.0,0.911,(0;010),0.0
11,4.0,TeWBr9,ICSD,410948,1.0,22.0,194.0,1.0,0.0,0.0,0.629,(1;011),0.0
11,4.0,Bi9I2,ICSD,39257,1.0,22.0,118.0,3.0,0.0,0.0,0.931,(1;011),0.0
11,4.0,BaV3O8,ICSD,82063,1.0,24.0,194.0,2.0,0.0,0.0,0.982,(1;011),0.0
12,1.0,Y,ICSD,187638,1.0,2.0,22.0,3.0,0.0,0.054,0.46,(1;110),0.0
12,1.0,Ta2Te3,ICSD,41047,1.0,10.0,88.0,3.0,0.0,0.027,0.38,(0;111),0.0
12,1.0,TlV5Se8,ICSD,37122,1.0,14.0,126.0,3.0,0.0,0.003,0.577,(0;001),0.0
12,1.0,Ti3Se4,ICSD,601347,1.0,7.0,60.0,3.0,0.0,0.007,0.436,(1;110),1.0
12,1.0,Y2Si2Rh,ICSD,48176,1.0,10.0,94.0,3.0,0.0,0.002,0.553,(0;110),0.0
12,1.0,VP2,ICSD,42077,1.0,6.0,46.0,3.0,0.0,0.034,0.163,(0;111),1.0
12,1.0,Ti2NiSe4,ICSD,646544,1.0,7.0,58.0,3.0,0.0,0.023,0.398,(0;111),0.0
12,1.0,Ti2NiSe4,ICSD,646544,1.0,7.0,58.0,3.0,0.0,0.023,0.398,(0;111),0.0
12,1.0,Si2NiSe4,ICSD,646533,1.0,7.0,42.0,3.0,0.0,0.024,0.736,(0;001),0.0
12,1.0,Sc3Si3Ni,ICSD,48004,1.0,14.0,110.0,3.0,0.0,0.011,0.732,(0;000),0.0
12,1.0,Ti4NiS8,ICSD,646389,1.0,13.0,106.0,3.0,0.0,0.005,0.324,(0;001),0.0
